Nome,CPF,Matrícula,Notas (Prova 1),Notas (Prova 2),Notas (Prova 3),Notas (Prova 4),Notas (Prova 5),Rematrícula,Faltas,Telefone,Mensalidades em atraso,Curso
Alice Silva,123.456.789-00,202301,9.2,7.8,8.5,8.7,7.6,Sim,73,(45) 92366-3297,5,Ciências da Computação
Bernardo Santos,234.567.890-11,202302,6.8,6.3,6.9,6.5,9.0,Não,79,(24) 93655-2556,6,Sistemas de Informação
Clara Oliveira,345.678.901-22,202303,7.5,9.2,7.3,9.3,8.3,Sim,3,(82) 93135-6950,0,Sistemas de Informação
Daniel Pereira,456.789.012-33,202304,8.1,5.9,9.1,7.1,6.7,Não,19,(89) 92813-4982,4,Sistemas de Informação
Eloá Almeida,567.890.123-44,202305,5.4,8.1,5.7,5.9,8.1,Não,65,(66) 96320-8980,5,Sistemas de Informação
Felipe Gomes,678.901.234-55,202306,9.7,7.4,8.2,8.4,7.9,Sim,8,(23) 94658-2074,3,Ciências da Computação
Gabriela Costa,789.012.345-66,202307,6.2,6.5,7.8,7.9,6.5,Sim,58,(25) 98227-6053,3,Ciências da Computação
Heitor Lima,890.123.456-77,202308,7.9,8.7,6.4,6.3,8.8,Não,59,(52) 96381-3683,5,Sistemas de Informação
Isabela Rodrigues,901.234.567-88,202309,8.3,5.6,9.3,9.2,7.2,Sim,98,(15) 98290-2316,2,Sistemas de Informação
João Sousa,012.345.678-99,202310,4.6,9.0,5.2,7.5,5.4,Não,53,(27) 99256-1554,5,Sistemas de Informação
Laura Carvalho,111.222.333-00,202311,7.2,6.9,7.6,8.1,8.4,Sim,42,(35) 93171-2257,4,Sistemas de Informação
Mateus Ferreira,222.333.444-11,202312,6.9,8.3,9.0,5.7,7.8,Não,48,(79) 98260-8810,3,Sistemas de Informação
Nina Cardoso,333.444.555-22,202313,8.7,7.2,6.1,9.6,6.3,Sim,19,(71) 97981-5592,3,Ciências da Computação
Otávio Martins,444.555.666-33,202314,5.8,5.4,8.7,7.3,9.2,Não,66,(18) 97025-1352,5,Ciências da Computação
Pietra Barbosa,555.666.777-44,202315,9.5,9.4,5.9,6.1,8.7,Não,91,(10) 94327-6058,0,Sistemas de Informação
Rafael Castro,666.777.888-55,202316,6.7,6.7,7.4,8.6,6.9,Sim,85,(84) 91493-3550,2,Sistemas de Informação
Sophia Ribeiro,777.888.999-66,202317,7.8,8.9,9.2,7.7,8.2,Sim,41,(93) 94503-7349,4,Ciências da Computação
Thiago Mendes,888.999.000-77,202318,8.9,7.6,6.5,6.8,7.7,Não,98,(49) 92755-7370,3,Sistemas de Informação
